City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
164,dolbeau-mistassini,68,CA,1686505028,51,48.8763,-72.212,70.27,3.58
165,murun-kuren,97,MN,1686505028,89,49.6342,100.1625,61.29,5.53
166,tolanaro,20,MG,1686505029,88,-25.0319,46.9987,68.07,0.0
167,cidreira,100,BR,1686505029,84,-30.1811,-50.2056,56.16,9.55
168,tanque verde,40,PH,1686505029,83,10.2511,123.8606,82.45,3.44
169,talnakh,72,RU,1686505029,65,69.4865,88.3972,49.21,9.91
170,hithadhoo,79,MV,1686505030,73,-0.6,73.0833,83.25,5.93
171,ainaro,100,TL,1686505030,85,-8.9924,125.5082,61.74,3.71
172,benguela,45,AO,1686505030,85,-12.5763,13.4055,69.87,2.26
173,crane,0,US,1686505030,21,31.3974,-102.3501,95.25,6.8
174,mainvilliers,61,FR,1686505031,87,48.45,1.4561,70.9,11.39
175,luderitz,0,NA,1686505031,85,-26.6481,15.1594,55.24,2.59
176,magadan,87,RU,1686505031,91,59.5667,150.8,43.5,2.26
177,sechura,90,PE,1686505031,62,-5.5569,-80.8222,80.96,9.19
178,illela,21,NG,1686505031,30,13.7292,5.2975,98.2,3.58
179,chinchilla,21,AU,1686505032,89,-26.75,150.6333,53.74,7.54
180,nishinoomote,98,JP,1686505032,95,30.7333,131.0,73.78,14.76
181,saint-denis,75,FR,1686505032,70,48.9167,2.3333,77.77,11.5
182,mount pearl,67,GB,1686505033,64,53.6597,-1.8537,75.69,7.16
183,mandiana,98,GN,1686505033,57,10.6333,-8.6833,86.0,5.32
184,chancay,51,PE,1686505033,70,-11.5714,-77.2672,72.14,9.66
185,tazovsky,100,RU,1686505033,96,67.4667,78.7,46.67,9.13
186,ambilobe,78,MG,1686505034,73,-13.2,49.05,72.82,3.58
187,mizdah,1,LY,1686505034,39,31.4451,12.9801,82.98,21.32
188,qaqortoq,5,GL,1686505034,68,60.7167,-46.0333,43.41,6.82
189,meadow lake,18,US,1686505034,48,45.5291,-102.2163,64.62,8.9
190,pacific grove,100,US,1686505035,93,38.482,-90.7415,68.38,5.99
191,binubusan,100,PH,1686505035,81,13.9628,120.6377,80.87,8.43
192,villa gesell,56,IT,1686505035,70,46.2039,10.1339,75.74,2.89
193,price,0,US,1686505036,27,39.5994,-110.8107,74.46,5.75
194,alofi,88,NU,1686505036,94,-19.0595,-169.9187,73.29,8.05
195,tsiombe,23,MG,1686505036,87,-25.3,45.4833,64.98,4.54
196,manta,40,EC,1686504865,89,-0.95,-80.7333,83.98,17.0
197,grand falls-windsor,70,US,1686505038,17,38.8755,-109.5012,82.94,4.92
198,barcelos,72,PT,1686505038,68,41.5388,-8.6151,73.85,2.84
199,chinhoyi,43,ZW,1686505038,40,-17.3667,30.2,65.37,5.35
200,floro,0,NO,1686505038,45,61.5996,5.0328,71.67,4.61
201,peace river,100,UA,1686505039,95,48.3083,38.0721,59.14,13.78
202,novomykolayivka,100,UA,1686505039,94,47.9781,35.9102,58.75,12.08
203,malabar,1,AU,1686505039,87,-33.9667,151.25,50.0,8.05
204,stanley,0,GB,1686505039,71,54.868,-1.6985,73.27,8.05
205,lihue,20,US,1686505040,81,21.9789,-159.3672,76.59,11.5
206,bamboo flat,73,JM,1686505040,67,18.3922,-77.2643,80.4,13.09
207,saint-francois,100,FR,1686505040,60,46.4154,3.9054,69.24,10.36
208,mata-utu,12,WF,1686505040,79,-13.2816,-176.1745,82.9,18.75
209,lompoc,100,US,1686505041,79,34.6391,-120.4579,64.78,6.91
210,bel ombre,99,AL,1686505041,90,41.5027,20.0446,71.56,2.13
211,tyre,8,LB,1686505041,80,33.2733,35.1939,76.12,1.14
212,lazaro cardenas,53,DO,1686505041,55,19.4558,-71.3261,93.0,2.71
213,coquimbo,0,CL,1686504884,72,-29.9533,-71.3436,58.73,11.5
214,nar'yan-mar,96,RU,1686505042,63,67.6713,53.087,37.63,11.07
215,klyuchi,0,RU,1686505042,57,52.2667,79.1667,59.76,5.77
216,sos'va,39,RU,1686505043,58,59.1766,61.8558,43.88,9.82
217,lijiang,100,CN,1686504992,98,26.8688,100.2207,53.11,2.33
218,ataq,74,YE,1686505043,39,14.5377,46.8319,83.44,7.36
219,bodden town,91,GB,1686505043,72,51.1954,-2.5161,70.92,5.73
220,bela vista,18,IN,1686505044,21,25.9333,81.9833,99.46,7.25
221,bredasdorp,100,ZA,1686505044,73,-34.5322,20.0403,57.56,8.32
222,rohru,71,IN,1686505044,81,31.2167,77.75,63.09,3.36
223,fort st. john,18,NL,1686505044,59,52.6517,6.3861,83.98,11.36
224,pitimbu,40,BR,1686505045,84,-7.4706,-34.8086,77.59,12.55
225,nikolayevsk-on-amure,100,RU,1686505045,99,53.1406,140.73,46.26,4.47
226,toba,100,JP,1686505045,96,34.4833,136.85,71.6,5.66
227,north bend,63,FR,1686504930,78,50.3333,3.6667,78.15,3.78
228,gulf shores,43,MG,1686505045,92,-21.4315,47.117,56.5,2.3
229,chokwe,0,MZ,1686505046,55,-24.5333,32.9833,68.36,6.85
230,holualoa,40,US,1686505046,90,19.6228,-155.9522,72.5,5.75
231,chibougamau,0,CA,1686505046,63,49.9168,-74.3659,65.82,9.22
232,nouadhibou,1,MR,1686505047,48,20.931,-17.0347,84.18,17.27
233,nizao,63,DO,1686505047,62,18.25,-70.2,91.47,9.75
234,kayangel,91,PW,1686505047,78,8.0823,134.7173,83.86,13.29
235,lensk,99,RU,1686505047,90,60.7253,114.9278,48.63,5.75
236,toga village,56,ES,1686505048,63,40.05,-0.3667,73.22,3.78
237,pueblo,55,US,1686504772,53,38.2545,-104.6091,71.62,1.99
238,bismarck,0,US,1686504809,49,46.8083,-100.7837,69.66,9.22
239,kone,16,NC,1686505048,77,-21.0595,164.8658,63.66,4.79
240,queenstown,0,ZA,1686505048,32,-31.8976,26.8753,51.91,7.87
241,cabo san lucas,30,BR,1686505049,77,-8.2833,-35.0333,75.13,9.31
242,constantia,86,RO,1686505049,74,44.1833,28.65,70.7,9.73
243,tromso,75,NO,1686505049,87,69.6496,18.957,49.37,27.63
244,sao jose de ribamar,100,IN,1686505050,55,20.5113,76.2129,82.09,13.22
245,uribia,98,CO,1686505050,48,11.7139,-72.266,93.04,20.8
246,centerville,100,US,1686505050,94,39.6284,-84.1594,68.25,8.05
247,alice springs,0,US,1686505050,55,27.7523,-98.0697,96.24,14.97
248,mossel bay,21,NL,1686505050,55,52.1104,6.367,84.58,11.54
249,arteche,95,PH,1686505051,90,12.2645,125.4048,78.01,6.2
250,pahrump,98,US,1686505051,33,36.2083,-115.9839,79.52,11.01
251,zakynthos,20,GR,1686505051,61,37.7914,20.8953,78.12,5.75
252,aljezur,72,PT,1686505051,71,37.3191,-8.8033,69.4,6.13
253,port saint john's,45,CD,1686504985,56,-7.0349,29.7638,78.49,1.79
254,shimoda,100,JP,1686505052,94,34.6667,138.95,69.1,1.41
255,okhotsk,68,RU,1686505052,93,59.3833,143.3,41.5,3.47
256,udachny,100,RU,1686505052,100,66.4167,112.4,32.45,16.06
257,at-bashi,97,KG,1686505053,66,41.1702,75.8106,60.96,3.83
258,mount gambier,67,GB,1686505033,64,53.6597,-1.8537,75.69,7.16
259,turtas,14,RU,1686505053,73,58.9417,69.1325,42.44,6.24
260,maragogi,9,BR,1686505054,80,-9.0122,-35.2225,79.29,7.54
261,tobi village,35,NG,1686505054,30,13.2864,4.8824,98.42,1.74
262,mazagao,9,BR,1686505054,56,-0.115,-51.2894,86.05,5.66
263,chernomorskoye,75,UA,1686505055,89,45.5039,32.6997,66.25,22.06
264,red hill,46,TJ,1686505055,64,37.9709,71.73,64.62,3.24
265,marsh harbour,66,GB,1686505056,64,53.6512,-1.8078,76.78,7.74
266,meadow lakes,18,US,1686505034,48,45.5291,-102.2163,64.62,8.9
267,severo-yeniseyskiy,0,RU,1686505056,66,60.3725,93.0408,40.98,4.21
268,iecava,4,LV,1686505056,55,56.5986,24.2022,64.22,2.37
269,peniche,52,PT,1686505057,84,39.3558,-9.3811,75.07,9.08
270,zelenoborskiy,68,RU,1686505057,62,66.845,32.3622,57.49,4.12
271,opuwo,0,NA,1686505057,35,-18.0607,13.84,66.51,8.14
272,buncrana,78,IE,1686505057,81,55.1333,-7.45,69.57,2.46
273,kombissiri,84,BF,1686505058,40,12.0656,-1.3375,87.78,8.46
274,yatou,69,CN,1686505058,88,37.15,122.3833,62.26,2.06
275,saint-pierre,0,RE,1686505058,78,-21.3393,55.4781,73.08,3.44
276,portland,40,US,1686504967,67,45.5234,-122.6762,72.0,3.44
277,aiquile,32,BO,1686505059,41,-18.2041,-65.1807,70.9,8.37
278,teruel,96,ES,1686505059,88,40.6667,-0.6667,56.12,7.07
279,tres palos,20,IT,1686505059,66,46.3231,11.0969,74.01,5.75
280,aswan,0,EG,1686505059,15,24.0934,32.907,97.9,10.36
281,pudozh,38,RU,1686505059,63,61.8099,36.5345,52.14,5.21
282,egilsstadir,0,IS,1686505060,26,65.2653,-14.3948,66.11,16.11
283,happy valley-goose bay,40,US,1686505061,69,35.1654,-91.6443,86.18,3.44
284,wad az zaki,17,RU,1686505061,74,55.5301,44.2114,48.15,4.25
285,ugoofaaru,88,MV,1686505062,81,5.6667,73.0,83.37,13.8
286,nova vicosa,56,BR,1686505062,46,-5.5279,-46.7049,89.02,4.14
287,safranbolu,96,TR,1686505062,87,41.2508,32.6942,58.87,3.49
288,port alfred,45,CD,1686504999,56,-7.0349,29.7638,78.49,1.79
289,kerikeri,7,NZ,1686505063,94,-35.2268,173.9474,47.17,3.94
290,puerto boyaca,0,ES,1686505028,60,36.5939,-6.233,79.61,17.27
291,rongelap,98,MH,1686505063,80,11.1635,166.8941,81.64,16.44
292,vilyuchinsk,10,RU,1686505063,71,52.9306,158.4028,44.87,8.39
293,hermanus,100,ZA,1686505064,91,-34.4187,19.2345,60.8,14.92
294,chui,9,UY,1686505064,38,-33.6971,-53.4616,56.14,9.78
295,yeppoon,47,AU,1686505064,89,-23.1333,150.7333,62.38,8.84
296,veraval,100,IN,1686505065,75,20.9,70.3667,84.2,24.96
297,myeik,100,MM,1686505366,94,12.4333,98.6,77.32,3.85
